nombre,descripcion o especificaciones,categoria,marca,stock,sku,alto cm,ancho cm,largo cm,peso g,pero kg,precio,precio oferta,link imagen,clase envio
ROG STRIX B450-F GAMING,Tarjeta madre AM4 para RYZEN,tarjeta Madre,ASUS,2,,27,34,7,1600,"1,6","$ 3,700.00","$ 3,350.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/c/m/cm-353714-9-1.jpg,
ASUS PRIME B550M-A,Tarjeta madre AM4 para RYZEN,tarjeta Madre,ASUS,2,,27,27,7,1100,"1,1","$ 3,850.00","$ 3,400.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/t/m/tm-353714-57_1_.jpg,
AORUS B550M AORUS ELITE,Tarjeta madre AM4 para RYZEN,tarjeta Madre,AORUS,1,,27,27,7,1200,"1,2","$ 3,999.00","$ 3,400.00",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQhvX-IwtkpJIJsnOksal8DcxatKQ6NB9KuxTMxVNXea9tycRkwLA&usqp=CAc,
ASROCK B550M STEEL LEGEND,Tarjeta madre AM4 para RYZEN,Tarjeta madre,ASROCK,1,,29,30,7,1700,"1,7",3659,3659,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/t/m/tm-354214-18_3_.png,
BIOSTAR H310M,TARJETA MADRE INTEL SOCKET 1151,tarjeta madre,BIOSTAR,2,,19,26,5,600,"0,6",1500,1450,https://www.pchmayoreo.com/media/catalog/product/cache/1/image/270x270/9df78eab33525d08d6e5fb8d27136e95/1/_/1_tm-393586-1_1.jpg,
ASROCK H410M-HDV,TARJETA MADRE INTEL SOCKET 1151,tarjeta madre,ASROCK,4,,21,28,6,750,"0,75","$ 1,599.00",1500,https://www.pchmayoreo.com/media/catalog/product/cache/1/thumbnail/70x70/9df78eab33525d08d6e5fb8d27136e95/t/m/tm-394215-1_3_.png,
ECS B365H5-M16,TARJETA MADRE INTEL SOCKET 1151,tarjeta Madre,ECS,2,,28,32,10,1100,"1,1","$ 1,800.00","$ 1,720.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/c/m/cm-353110-2.png,
RYZEN 3 3100 3.6GHZ,RYZEN 3 3100 3.6GHZ SOCKET AM4,PROCESADOR,RYZEN,4,,15,15,10,500,"0,5","$ 2,850.00","$ 2,650.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/P/R/PR-643314-35.jpg,
RYZEN 5 3600 3.6GHZ,RYZEN 5 3600 3.6GHZ SOCKET AM4,PROCESADOR,RYZEN,2,,15,15,10,500,"0,5","$ 5,670.00","$ 5,300.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/p/r/pr-353314-8.jpg,
RYZEN 5 3400G 3.7GHZ,RYZEN 5 3400G 3.7 Ghgz Socket AM4,PROCESADOR,RYZEN,2,,15,15,15,700,"0,7","$ 4,700.00","$ 4,380.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/p/r/pr-643314-31.jpg,
INTEL CORE I3 9100F 3.6GHZ,INTEL CORE I3 9100F 3.6GHZ SOCKET 1151,PROCESADOR,INTEL,1,,15,15,15,350,"0,35","$ 2,100.00","$ 1,899.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/p/r/pr-373310-46_3.jpg,
INTEL CORE I3 10100 3.6GHZ,INTEL CORE I3 10100 3.6GHZ SOCKET 1151,PROCESADOR,INTEL,3,,15,12,10,350,"0,35","$ 2,950.00","$ 2,735.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/P/R/PR-373315-1.jpg,
INTEL CORE I5 9400 2.9GHZ,INTEL CORE I5 9400 2.9GHZ SOCKET 1151,PROCESADOR,INTEL,1,,15,12,8,350,"0,35","$ 4,350.00","$ 4,060.00",https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/p/r/pr-373310-45.jpg,
DDR4 4GB 2400MHZ,DDR4 4GB 2400MHZ KINGSTON,MEMORIA RAM,KINGSTON,4,,10,15,2,120,"0,12",$ 520.00,$ 445.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/m/e/me-423372-38-1.jpg,
HYPERX Fury DDR4 8GB 2666MHZ,HYPERX DDR4 8GB 2666MHZ,MEMORIA RAM,Kingston,2,,10,15,2,120,"0,12",$ 820.00,$ 780.00,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/m/e/me-423372-53_2_.jpg,
XPG 8GB DDR4 3000MHZ GAMMIX D10 NEGRO,XPG 8GB DDR4 3000MHZ GAMMIX D10 NEGRA,MEMORIA RAM,ADATA,4,,10,15,2,120,"0,12",$ 850.00,800,https://www.pchmayoreo.com/media/catalog/product/cache/1/small_image/170x/9df78eab33525d08d6e5fb8d27136e95/M/E/ME-423710-60.jpg,
