sku,alto,inventario,id_seccion,id_linea,ancho,skuFabricante,peso_bruto,volumen,precio,upc,marca,serie,seccion,moneda,id_marca,descripcion,id_serie,peso_neto,largo,linea,image_url,precio_final,stock
649532005604-C,27,Array,6855,11493,35,CP350SLG,7.9,,948.94,649532005604,CYBERPOWER,350VA,ENERGIA,MXN,7059,"UPS/NO BREAK CYBERPOWER CP350SLG 350VA/255W STANDBY 8NEMA/USB",10727,7.9,31.3,"NO BREAKS",https://drakelfo.mx/pch-importer/images/649532005604-C.jpg,1265.88596,9
649532610723-C,8.9,Array,6855,11493,18,AVRG900U,6.4,,2065.62,649532610723,CYBERPOWER,900VA,ENERGIA,MXN,7059,"UPS/NO BREAK CYBERPOWER AVRG900U 900VA/480W AVR/COMPACTO/12NEMA       ",10709,6.4,31,"NO BREAKS",https://drakelfo.mx/pch-importer/images/649532610723-C.jpg,2755.53708,1
649532715053-C,51.5,Array,6855,11493,54.5,OR1000LCDRM1U,18.55,,6559.14,649532715053,CYBERPOWER,1KVA,ENERGIA,MXN,7059,"UPS/NO BREAK CYBERPOWER OR1000LCDRM1U 1000VA/600W LCD/1U/RACK 6NEMA   ",10667,18.55,15.8,"NO BREAKS",https://drakelfo.mx/pch-importer/images/649532715053-C.jpg,8749.89276,4
649532616428-C,45.8,Array,6855,11493,29.5,OLS1000,14.6,,6351.61,649532616428,CYBERPOWER,1KVA,ENERGIA,MXN,7059,"UPS/NO BREAK CYBERPOWER OLS1000 1000VA / 900W ONLINE/LCD/4NEMA        ",10667,14.6,51.9,"NO BREAKS",https://drakelfo.mx/pch-importer/images/649532616428-C.jpg,8473.04774,3
649532602490-C,16.3,Array,6855,11493,13.7,PR750LCD,12.25,,5262.77,649532602490,CYBERPOWER,750VA,ENERGIA,MXN,7059,"UPS/NO BREAK CYBERPOWER PR750LCD 750VA/525W ONDA SENOIDAL 6NEMA       ",10711,12.25,34.8,"NO BREAKS",https://drakelfo.mx/pch-importer/images/649532602490-C.jpg,7020.53518,10
649532607587-C,40,Array,6855,11493,51,EC750G,17.9,,1838.3,649532607587,CYBERPOWER,750VA,ENERGIA,MXN,7059,"UPS/NO BREAK CYBERPOWER EC750G 750VA/450W STANDBY/COMPACTO/12NEMA     ",10711,17.9,25,"NO BREAKS",https://drakelfo.mx/pch-importer/images/649532607587-C.jpg,2452.2922,7
649532611997-C,35.1,Array,6855,11493,13.7,OR1500PFCLCD,11.33,,6559.14,649532611997,CYBERPOWER,1.5KVA,ENERGIA,MXN,7059,"UPS/NO BREAK CYBERPOWER OR1500PFCLCD 1500VA/1050W PFC ACTIVAS 8NEMA   ",10712,11.33,16.3,"NO BREAKS",https://drakelfo.mx/pch-importer/images/649532611997-C.jpg,8749.89276,3
766623161138-M,26,Array,6855,11519,3,161138,0.24,,5.61,766623161138,MANHATTAN,6CONTACTOS,ENERGIA,USD,7061,"BARRA MULTICONTACTO CON PROTECCION MANHATTAN 6 CONTACTOS 161138",10725,0.24,4.9,SUPRESORES,https://drakelfo.mx/pch-importer/images/766623161138-M.jpg,150,25
766623432351-M,35,Array,6862,11517,20,432351,1.2,,23.69,766623432351,MANHATTAN,"22""",MONITORES,USD,7061,"SOPORTE UNIVERSAL MANHATTAN MONITOR HASTA 22 12KG PARED 432351",10769,1.2,30,SOPORTES,https://drakelfo.mx/pch-importer/images/766623432351-M.jpg,660,4
766623176071-M,13.2,Array,6850,10624,4.2,176071,1.33,,8.32,766623176071,MANHATTAN,OPTICOS,"TECLADOS & MOUSES",USD,7061,"MOUSE OPTICO GAMING NEGRO DPI AJUSTABLES LUZ LED MANHATTAN 176071",10775,1.33,7,MOUSE,https://drakelfo.mx/pch-importer/images/766623176071-M.jpg,232,13
